"","disorder","sex","age","CIF","CIF_lb","CIF_ub","IR","IR_lb","IR_ub","disorder_group","disorder_full"
"3608","AN","F",62,1.11,1.1,1.12,0.02,0.01,0.04,"Specific disorder","Anorexia nervosa"
"3609","AN","F",62.5,1.11,1.1,1.12,0.02,0.01,0.04,"Specific disorder","Anorexia nervosa"
"3610","AN","F",63,1.11,1.1,1.12,0.02,0.01,0.04,"Specific disorder","Anorexia nervosa"
"3611","AN","F",63.5,1.11,1.1,1.12,0.02,0.01,0.03,"Specific disorder","Anorexia nervosa"
"3612","AN","F",64,1.11,1.1,1.12,0.02,0.01,0.03,"Specific disorder","Anorexia nervosa"
"3613","AN","F",64.5,1.11,1.1,1.12,0.01,0.01,0.03,"Specific disorder","Anorexia nervosa"
"3614","AN","F",65,1.11,1.1,1.12,0.01,0.01,0.03,"Specific disorder","Anorexia nervosa"
"3615","AN","F",65.5,1.11,1.1,1.12,0.01,0,0.03,"Specific disorder","Anorexia nervosa"
"3616","AN","F",66,1.11,1.1,1.12,0.01,0,0.04,"Specific disorder","Anorexia nervosa"
"3617","AN","F",66.5,1.11,1.1,1.12,0.01,0,0.04,"Specific disorder","Anorexia nervosa"
"3618","AN","F",67,1.11,1.1,1.12,0.01,0,0.04,"Specific disorder","Anorexia nervosa"
"3619","AN","F",67.5,1.11,1.1,1.12,0.01,0,0.04,"Specific disorder","Anorexia nervosa"
"3620","AN","F",68,1.11,1.1,1.12,0.01,0,0.04,"Specific disorder","Anorexia nervosa"
"3621","AN","F",68.5,1.11,1.1,1.12,0.01,0,0.04,"Specific disorder","Anorexia nervosa"
"3622","AN","F",69,1.11,1.1,1.12,0.01,0,0.04,"Specific disorder","Anorexia nervosa"
"3623","AN","F",69.5,1.11,1.1,1.12,0.01,0,0.04,"Specific disorder","Anorexia nervosa"
"3624","AN","F",70,1.11,1.1,1.12,0.01,0.01,0.04,"Specific disorder","Anorexia nervosa"
"3625","AN","F",70.5,1.11,1.1,1.12,0.02,0.01,0.04,"Specific disorder","Anorexia nervosa"
"3626","AN","F",71,1.11,1.1,1.12,0.02,0.01,0.05,"Specific disorder","Anorexia nervosa"
"3627","AN","F",71.5,1.11,1.1,1.12,0.02,0.01,0.05,"Specific disorder","Anorexia nervosa"
"3628","AN","F",72,1.11,1.1,1.12,0.02,0.01,0.05,"Specific disorder","Anorexia nervosa"
"3629","AN","F",72.5,1.11,1.1,1.12,0.02,0.01,0.06,"Specific disorder","Anorexia nervosa"
"3630","AN","F",73,1.11,1.1,1.12,0.03,0.01,0.07,"Specific disorder","Anorexia nervosa"
"3631","AN","F",73.5,1.11,1.1,1.12,0.03,0.01,0.08,"Specific disorder","Anorexia nervosa"
"3632","AN","F",74,1.11,1.1,1.12,0.03,0.01,0.1,"Specific disorder","Anorexia nervosa"
"3633","AN","F",74.5,1.11,1.1,1.12,0.04,0.01,0.12,"Specific disorder","Anorexia nervosa"
"3634","AN","F",75,1.11,1.1,1.12,0.04,0.01,0.14,"Specific disorder","Anorexia nervosa"
"3635","AN","F",75.5,1.11,1.1,1.12,0.04,0.01,0.17,"Specific disorder","Anorexia nervosa"
"3636","AN","F",76,1.11,1.1,1.12,0.05,0.01,0.22,"Specific disorder","Anorexia nervosa"
"3637","AN","F",76.5,1.11,1.1,1.12,0.06,0.01,0.27,"Specific disorder","Anorexia nervosa"
"3638","AN","F",77,1.11,1.1,1.12,0.06,0.01,0.34,"Specific disorder","Anorexia nervosa"
"3639","AN","F",77.5,1.11,1.1,1.12,0.07,0.01,0.43,"Specific disorder","Anorexia nervosa"
"3640","AN","F",78,1.11,1.1,1.12,0.08,0.01,0.54,"Specific disorder","Anorexia nervosa"
"3641","AN","F",78.5,1.11,1.1,1.12,0.09,0.01,0.69,"Specific disorder","Anorexia nervosa"
"3642","AN","F",79,1.11,1.1,1.12,0.1,0.01,0.88,"Specific disorder","Anorexia nervosa"
"3643","AN","F",79.5,1.11,1.1,1.12,0.11,0.01,1.12,"Specific disorder","Anorexia nervosa"
"3644","AN","F",80,1.11,1.1,1.12,0.13,0.01,1.44,"Specific disorder","Anorexia nervosa"
"3645","AN","M",0,0,0,0,0,0,0,"Specific disorder","Anorexia nervosa"
"3646","AN","M",1,0,0,0,0,0,0,"Specific disorder","Anorexia nervosa"
"3647","AN","M",1.5,0,0,0,0,0,0,"Specific disorder","Anorexia nervosa"
"3648","AN","M",2,0,0,0,0,0,0,"Specific disorder","Anorexia nervosa"
"3649","AN","M",2.5,0,0,0,0,0,0,"Specific disorder","Anorexia nervosa"
"3650","AN","M",3,0,0,0,0,0,0,"Specific disorder","Anorexia nervosa"
"3651","AN","M",3.5,0,0,0,0,0,0,"Specific disorder","Anorexia nervosa"
"3652","AN","M",4,0,0,0,0,0,0,"Specific disorder","Anorexia nervosa"
"3653","AN","M",4.5,0,0,0,0,0,0,"Specific disorder","Anorexia nervosa"
"3654","AN","M",5,0,0,0,0,0,0,"Specific disorder","Anorexia nervosa"
"3655","AN","M",5.5,0,0,0,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3656","AN","M",6,0,0,0,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3657","AN","M",6.5,0,0,0,0.01,0,0.02,"Specific disorder","Anorexia nervosa"
"3658","AN","M",7,0,0,0,0.01,0.01,0.03,"Specific disorder","Anorexia nervosa"
"3659","AN","M",7.5,0,0,0,0.03,0.01,0.05,"Specific disorder","Anorexia nervosa"
"3660","AN","M",8,0,0,0,0.05,0.03,0.08,"Specific disorder","Anorexia nervosa"
"3661","AN","M",8.5,0,0,0,0.09,0.06,0.13,"Specific disorder","Anorexia nervosa"
"3662","AN","M",9,0,0,0,0.14,0.1,0.2,"Specific disorder","Anorexia nervosa"
"3663","AN","M",9.5,0,0,0,0.23,0.17,0.3,"Specific disorder","Anorexia nervosa"
"3664","AN","M",10,0,0,0,0.34,0.27,0.42,"Specific disorder","Anorexia nervosa"
"3665","AN","M",10.5,0,0,0,0.47,0.39,0.56,"Specific disorder","Anorexia nervosa"
"3666","AN","M",11,0,0,0,0.61,0.53,0.72,"Specific disorder","Anorexia nervosa"
"3667","AN","M",11.5,0.01,0,0.01,0.75,0.64,0.86,"Specific disorder","Anorexia nervosa"
"3668","AN","M",12,0.01,0.01,0.01,0.85,0.73,0.98,"Specific disorder","Anorexia nervosa"
"3669","AN","M",12.5,0.01,0.01,0.01,0.91,0.79,1.05,"Specific disorder","Anorexia nervosa"
"3670","AN","M",13,0.02,0.02,0.02,0.93,0.8,1.06,"Specific disorder","Anorexia nervosa"
"3671","AN","M",13.5,0.02,0.02,0.02,0.9,0.78,1.03,"Specific disorder","Anorexia nervosa"
"3672","AN","M",14,0.03,0.02,0.03,0.84,0.73,0.95,"Specific disorder","Anorexia nervosa"
"3673","AN","M",14.5,0.03,0.03,0.03,0.75,0.66,0.85,"Specific disorder","Anorexia nervosa"
"3674","AN","M",15,0.03,0.03,0.04,0.66,0.58,0.75,"Specific disorder","Anorexia nervosa"
"3675","AN","M",15.5,0.04,0.03,0.04,0.56,0.49,0.64,"Specific disorder","Anorexia nervosa"
"3676","AN","M",16,0.04,0.04,0.04,0.47,0.41,0.54,"Specific disorder","Anorexia nervosa"
"3677","AN","M",16.5,0.04,0.04,0.04,0.39,0.34,0.46,"Specific disorder","Anorexia nervosa"
"3678","AN","M",17,0.04,0.04,0.05,0.33,0.28,0.39,"Specific disorder","Anorexia nervosa"
"3679","AN","M",17.5,0.05,0.04,0.05,0.27,0.23,0.33,"Specific disorder","Anorexia nervosa"
"3680","AN","M",18,0.05,0.05,0.05,0.23,0.19,0.28,"Specific disorder","Anorexia nervosa"
"3681","AN","M",18.5,0.05,0.05,0.05,0.2,0.16,0.24,"Specific disorder","Anorexia nervosa"
"3682","AN","M",19,0.05,0.05,0.05,0.17,0.14,0.21,"Specific disorder","Anorexia nervosa"
"3683","AN","M",19.5,0.05,0.05,0.06,0.15,0.12,0.19,"Specific disorder","Anorexia nervosa"
"3684","AN","M",20,0.05,0.05,0.06,0.14,0.11,0.17,"Specific disorder","Anorexia nervosa"
"3685","AN","M",20.5,0.06,0.05,0.06,0.13,0.11,0.16,"Specific disorder","Anorexia nervosa"
"3686","AN","M",21,0.06,0.05,0.06,0.13,0.1,0.16,"Specific disorder","Anorexia nervosa"
"3687","AN","M",21.5,0.06,0.05,0.06,0.12,0.1,0.15,"Specific disorder","Anorexia nervosa"
"3688","AN","M",22,0.06,0.06,0.06,0.12,0.1,0.15,"Specific disorder","Anorexia nervosa"
"3689","AN","M",22.5,0.06,0.06,0.06,0.12,0.09,0.15,"Specific disorder","Anorexia nervosa"
"3690","AN","M",23,0.06,0.06,0.06,0.12,0.09,0.15,"Specific disorder","Anorexia nervosa"
"3691","AN","M",23.5,0.06,0.06,0.06,0.12,0.09,0.15,"Specific disorder","Anorexia nervosa"
"3692","AN","M",24,0.06,0.06,0.06,0.11,0.09,0.15,"Specific disorder","Anorexia nervosa"
"3693","AN","M",24.5,0.06,0.06,0.06,0.11,0.08,0.15,"Specific disorder","Anorexia nervosa"
"3694","AN","M",25,0.06,0.06,0.07,0.11,0.08,0.15,"Specific disorder","Anorexia nervosa"
"3695","AN","M",25.5,0.06,0.06,0.07,0.1,0.08,0.15,"Specific disorder","Anorexia nervosa"
"3696","AN","M",26,0.06,0.06,0.07,0.1,0.07,0.14,"Specific disorder","Anorexia nervosa"
"3697","AN","M",26.5,0.06,0.06,0.07,0.09,0.07,0.13,"Specific disorder","Anorexia nervosa"
"3698","AN","M",27,0.06,0.06,0.07,0.08,0.06,0.12,"Specific disorder","Anorexia nervosa"
"3699","AN","M",27.5,0.06,0.06,0.07,0.07,0.05,0.1,"Specific disorder","Anorexia nervosa"
"3700","AN","M",28,0.07,0.06,0.07,0.06,0.05,0.09,"Specific disorder","Anorexia nervosa"
"3701","AN","M",28.5,0.07,0.06,0.07,0.05,0.04,0.07,"Specific disorder","Anorexia nervosa"
"3702","AN","M",29,0.07,0.06,0.07,0.05,0.03,0.06,"Specific disorder","Anorexia nervosa"
"3703","AN","M",29.5,0.07,0.06,0.07,0.04,0.03,0.05,"Specific disorder","Anorexia nervosa"
"3704","AN","M",30,0.07,0.06,0.07,0.03,0.02,0.04,"Specific disorder","Anorexia nervosa"
"3705","AN","M",30.5,0.07,0.06,0.07,0.02,0.02,0.04,"Specific disorder","Anorexia nervosa"
"3706","AN","M",31,0.07,0.07,0.07,0.02,0.01,0.03,"Specific disorder","Anorexia nervosa"
"3707","AN","M",31.5,0.07,0.07,0.07,0.02,0.01,0.03,"Specific disorder","Anorexia nervosa"
"3708","AN","M",32,0.07,0.07,0.07,0.01,0.01,0.02,"Specific disorder","Anorexia nervosa"
"3709","AN","M",32.5,0.07,0.07,0.07,0.01,0.01,0.02,"Specific disorder","Anorexia nervosa"
"3710","AN","M",33,0.07,0.07,0.07,0.01,0,0.02,"Specific disorder","Anorexia nervosa"
"3711","AN","M",33.5,0.07,0.07,0.07,0.01,0,0.01,"Specific disorder","Anorexia nervosa"
"3712","AN","M",34,0.07,0.07,0.07,0.01,0,0.01,"Specific disorder","Anorexia nervosa"
"3713","AN","M",34.5,0.07,0.07,0.07,0.01,0,0.01,"Specific disorder","Anorexia nervosa"
"3714","AN","M",35,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3715","AN","M",35.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3716","AN","M",36,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3717","AN","M",36.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3718","AN","M",37,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3719","AN","M",37.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3720","AN","M",38,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3721","AN","M",38.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3722","AN","M",39,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3723","AN","M",39.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3724","AN","M",40,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3725","AN","M",40.5,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3726","AN","M",41,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3727","AN","M",41.5,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3728","AN","M",42,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3729","AN","M",42.5,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3730","AN","M",43,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3731","AN","M",43.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3732","AN","M",44,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3733","AN","M",44.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3734","AN","M",45,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3735","AN","M",45.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3736","AN","M",46,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3737","AN","M",46.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3738","AN","M",47,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3739","AN","M",47.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3740","AN","M",48,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3741","AN","M",48.5,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3742","AN","M",49,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3743","AN","M",49.5,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3744","AN","M",50,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3745","AN","M",50.5,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3746","AN","M",51,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3747","AN","M",51.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3748","AN","M",52,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3749","AN","M",52.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3750","AN","M",53,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3751","AN","M",53.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3752","AN","M",54,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3753","AN","M",54.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3754","AN","M",55,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3755","AN","M",55.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3756","AN","M",56,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3757","AN","M",56.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3758","AN","M",57,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3759","AN","M",57.5,0.07,0.07,0.07,0,0,0.01,"Specific disorder","Anorexia nervosa"
"3760","AN","M",58,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3761","AN","M",58.5,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3762","AN","M",59,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3763","AN","M",59.5,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3764","AN","M",60,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3765","AN","M",60.5,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3766","AN","M",61,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3767","AN","M",61.5,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3768","AN","M",62,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3769","AN","M",62.5,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3770","AN","M",63,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3771","AN","M",63.5,0.07,0.07,0.07,0,0,0.02,"Specific disorder","Anorexia nervosa"
"3772","AN","M",64,0.07,0.07,0.07,0,0,0.03,"Specific disorder","Anorexia nervosa"
"3773","AN","M",64.5,0.07,0.07,0.07,0,0,0.03,"Specific disorder","Anorexia nervosa"
"3774","AN","M",65,0.07,0.07,0.07,0,0,0.04,"Specific disorder","Anorexia nervosa"
"3775","AN","M",65.5,0.07,0.07,0.07,0,0,0.04,"Specific disorder","Anorexia nervosa"
"3776","AN","M",66,0.07,0.07,0.07,0,0,0.05,"Specific disorder","Anorexia nervosa"
"3777","AN","M",66.5,0.07,0.07,0.07,0,0,0.05,"Specific disorder","Anorexia nervosa"
"3778","AN","M",67,0.07,0.07,0.07,0.01,0,0.06,"Specific disorder","Anorexia nervosa"
"3779","AN","M",67.5,0.07,0.07,0.07,0.01,0,0.06,"Specific disorder","Anorexia nervosa"
"3780","AN","M",68,0.07,0.07,0.07,0.01,0,0.06,"Specific disorder","Anorexia nervosa"
"3781","AN","M",68.5,0.07,0.07,0.07,0.01,0,0.06,"Specific disorder","Anorexia nervosa"
"3782","AN","M",69,0.07,0.07,0.07,0,0,0.06,"Specific disorder","Anorexia nervosa"
"3783","AN","M",69.5,0.07,0.07,0.07,0,0,0.06,"Specific disorder","Anorexia nervosa"
"3784","AN","M",70,0.07,0.07,0.07,0,0,0.06,"Specific disorder","Anorexia nervosa"
"3785","AN","M",70.5,0.07,0.07,0.07,0,0,0.07,"Specific disorder","Anorexia nervosa"
"3786","AN","M",71,0.07,0.07,0.07,0,0,0.08,"Specific disorder","Anorexia nervosa"
"3787","AN","M",71.5,0.07,0.07,0.07,0,0,0.1,"Specific disorder","Anorexia nervosa"
"3788","AN","M",72,0.07,0.07,0.07,0,0,0.14,"Specific disorder","Anorexia nervosa"
"3789","AN","M",72.5,0.07,0.07,0.07,0,0,0.2,"Specific disorder","Anorexia nervosa"
"3790","AN","M",73,0.07,0.07,0.07,0,0,0.3,"Specific disorder","Anorexia nervosa"
"3791","AN","M",73.5,0.07,0.07,0.07,0,0,0.47,"Specific disorder","Anorexia nervosa"
"3792","AN","M",74,0.07,0.07,0.07,0,0,0.75,"Specific disorder","Anorexia nervosa"
"3793","AN","M",74.5,0.07,0.07,0.07,0,0,1.23,"Specific disorder","Anorexia nervosa"
"3794","AN","M",75,0.07,0.07,0.07,0,0,2.04,"Specific disorder","Anorexia nervosa"
"3795","AN","M",75.5,0.07,0.07,0.07,0,0,3.43,"Specific disorder","Anorexia nervosa"
"3796","AN","M",76,0.07,0.07,0.07,0,0,5.79,"Specific disorder","Anorexia nervosa"
"3797","AN","M",76.5,0.07,0.07,0.07,0,0,9.83,"Specific disorder","Anorexia nervosa"
"3798","AN","M",77,0.07,0.07,0.07,0,0,16.78,"Specific disorder","Anorexia nervosa"
"3799","AN","M",77.5,0.07,0.07,0.07,0,0,28.76,"Specific disorder","Anorexia nervosa"
"3800","AN","M",78,0.07,0.07,0.07,0,0,49.44,"Specific disorder","Anorexia nervosa"
"3801","AN","M",78.5,0.07,0.07,0.07,0,0,85.24,"Specific disorder","Anorexia nervosa"
"3802","AN","M",79,0.07,0.07,0.07,0,0,147.29,"Specific disorder","Anorexia nervosa"
"3803","AN","M",79.5,0.07,0.07,0.07,0,0,254.99,"Specific disorder","Anorexia nervosa"
"3804","AN","M",80,0.07,0.07,0.07,0,0,442.15,"Specific disorder","Anorexia nervosa"
"3805","SPD","F",0,0,0,0,0,0,0,"Broad category","Specific personality disorders"
"3806","SPD","F",10,0,0,0,1.55,1.45,1.65,"Broad category","Specific personality disorders"
"3807","SPD","F",10.5,0,0,0,1.93,1.82,2.06,"Broad category","Specific personality disorders"
"3808","SPD","F",11,0,0,0,2.42,2.28,2.56,"Broad category","Specific personality disorders"
"3809","SPD","F",11.5,0,0,0,3.02,2.86,3.18,"Broad category","Specific personality disorders"
"3810","SPD","F",12,0,0,0,3.77,3.59,3.96,"Broad category","Specific personality disorders"
"3811","SPD","F",12.5,0,0,0,4.71,4.51,4.93,"Broad category","Specific personality disorders"
"3812","SPD","F",13,0.01,0.01,0.01,5.88,5.65,6.12,"Broad category","Specific personality disorders"
"3813","SPD","F",13.5,0.01,0.01,0.02,7.32,7.06,7.59,"Broad category","Specific personality disorders"
"3814","SPD","F",14,0.03,0.03,0.03,9.06,8.78,9.36,"Broad category","Specific personality disorders"
"3815","SPD","F",14.5,0.06,0.06,0.07,11.16,10.85,11.49,"Broad category","Specific personality disorders"
"3816","SPD","F",15,0.11,0.11,0.12,13.65,13.3,14,"Broad category","Specific personality disorders"
"3817","SPD","F",15.5,0.19,0.18,0.19,16.54,16.17,16.92,"Broad category","Specific personality disorders"
"3818","SPD","F",16,0.27,0.26,0.27,19.85,19.45,20.26,"Broad category","Specific personality disorders"
"3819","SPD","F",16.5,0.37,0.36,0.38,23.54,23.11,23.99,"Broad category","Specific personality disorders"
"3820","SPD","F",17,0.48,0.47,0.49,27.56,27.08,28.05,"Broad category","Specific personality disorders"
"3821","SPD","F",17.5,0.61,0.6,0.62,31.8,31.27,32.34,"Broad category","Specific personality disorders"
"3822","SPD","F",18,0.75,0.74,0.76,36.12,35.53,36.72,"Broad category","Specific personality disorders"
"3823","SPD","F",18.5,0.96,0.94,0.97,40.32,39.66,40.99,"Broad category","Specific personality disorders"
"3824","SPD","F",19,1.16,1.15,1.17,44.17,43.44,44.9,"Broad category","Specific personality disorders"
"3825","SPD","F",19.5,1.38,1.37,1.39,47.41,46.63,48.2,"Broad category","Specific personality disorders"
"3826","SPD","F",20,1.59,1.58,1.61,49.8,48.99,50.63,"Broad category","Specific personality disorders"
"3827","SPD","F",20.5,1.83,1.82,1.85,51.15,50.33,51.98,"Broad category","Specific personality disorders"
"3828","SPD","F",21,2.06,2.05,2.08,51.43,50.63,52.25,"Broad category","Specific personality disorders"
"3829","SPD","F",21.5,2.29,2.27,2.3,50.75,49.98,51.53,"Broad category","Specific personality disorders"
"3830","SPD","F",22,2.51,2.49,2.53,49.24,48.51,49.97,"Broad category","Specific personality disorders"
"3831","SPD","F",22.5,2.71,2.69,2.73,47.07,46.39,47.75,"Broad category","Specific personality disorders"
"3832","SPD","F",23,2.91,2.89,2.93,44.43,43.79,45.07,"Broad category","Specific personality disorders"
"3833","SPD","F",23.5,3.1,3.08,3.12,41.49,40.89,42.1,"Broad category","Specific personality disorders"
"3834","SPD","F",24,3.28,3.26,3.31,38.42,37.84,39,"Broad category","Specific personality disorders"
"3835","SPD","F",24.5,3.46,3.44,3.48,35.34,34.78,35.91,"Broad category","Specific personality disorders"
"3836","SPD","F",25,3.62,3.6,3.64,32.37,31.83,32.93,"Broad category","Specific personality disorders"
"3837","SPD","F",25.5,3.76,3.74,3.78,29.59,29.06,30.12,"Broad category","Specific personality disorders"
"3838","SPD","F",26,3.9,3.88,3.92,27.03,26.52,27.55,"Broad category","Specific personality disorders"
"3839","SPD","F",26.5,4.04,4.01,4.06,24.75,24.26,25.25,"Broad category","Specific personality disorders"
"3840","SPD","F",27,4.16,4.14,4.19,22.74,22.28,23.22,"Broad category","Specific personality disorders"
"3841","SPD","F",27.5,4.28,4.26,4.31,21.03,20.59,21.48,"Broad category","Specific personality disorders"
"3842","SPD","F",28,4.39,4.37,4.42,19.61,19.19,20.03,"Broad category","Specific personality disorders"
"3843","SPD","F",28.5,4.5,4.48,4.53,18.45,18.06,18.85,"Broad category","Specific personality disorders"
"3844","SPD","F",29,4.61,4.59,4.64,17.53,17.17,17.91,"Broad category","Specific personality disorders"
"3845","SPD","F",29.5,4.71,4.68,4.73,16.8,16.45,17.15,"Broad category","Specific personality disorders"
"3846","SPD","F",30,4.8,4.77,4.82,16.21,15.88,16.54,"Broad category","Specific personality disorders"
"3847","SPD","F",30.5,4.89,4.86,4.92,15.74,15.43,16.06,"Broad category","Specific personality disorders"
"3848","SPD","F",31,4.97,4.94,5,15.37,15.06,15.69,"Broad category","Specific personality disorders"
"3849","SPD","F",31.5,5.06,5.03,5.08,15.07,14.77,15.39,"Broad category","Specific personality disorders"
"3850","SPD","F",32,5.14,5.11,5.17,14.83,14.52,15.15,"Broad category","Specific personality disorders"
"3851","SPD","F",32.5,5.22,5.19,5.24,14.64,14.32,14.96,"Broad category","Specific personality disorders"
"3852","SPD","F",33,5.29,5.26,5.31,14.46,14.13,14.8,"Broad category","Specific personality disorders"
"3853","SPD","F",33.5,5.36,5.33,5.39,14.3,13.96,14.65,"Broad category","Specific personality disorders"
"3854","SPD","F",34,5.42,5.4,5.45,14.13,13.78,14.49,"Broad category","Specific personality disorders"
"3855","SPD","F",34.5,5.49,5.46,5.51,13.94,13.58,14.31,"Broad category","Specific personality disorders"
"3856","SPD","F",35,5.55,5.53,5.58,13.73,13.37,14.09,"Broad category","Specific personality disorders"
"3857","SPD","F",35.5,5.61,5.59,5.64,13.47,13.11,13.83,"Broad category","Specific personality disorders"
"3858","SPD","F",36,5.67,5.65,5.7,13.16,12.81,13.51,"Broad category","Specific personality disorders"
"3859","SPD","F",36.5,5.73,5.71,5.76,12.79,12.46,13.13,"Broad category","Specific personality disorders"
"3860","SPD","F",37,5.79,5.77,5.82,12.38,12.06,12.69,"Broad category","Specific personality disorders"
"3861","SPD","F",37.5,5.84,5.82,5.87,11.92,11.63,12.22,"Broad category","Specific personality disorders"
"3862","SPD","F",38,5.9,5.87,5.93,11.44,11.17,11.72,"Broad category","Specific personality disorders"
"3863","SPD","F",38.5,5.95,5.92,5.98,10.94,10.68,11.2,"Broad category","Specific personality disorders"
"3864","SPD","F",39,6,5.97,6.02,10.42,10.18,10.67,"Broad category","Specific personality disorders"
"3865","SPD","F",39.5,6.05,6.02,6.07,9.91,9.68,10.15,"Broad category","Specific personality disorders"
"3866","SPD","F",40,6.09,6.06,6.12,9.4,9.17,9.64,"Broad category","Specific personality disorders"
"3867","SPD","F",40.5,6.13,6.11,6.16,8.91,8.68,9.14,"Broad category","Specific personality disorders"
"3868","SPD","F",41,6.17,6.14,6.2,8.43,8.19,8.66,"Broad category","Specific personality disorders"
"3869","SPD","F",41.5,6.21,6.18,6.24,7.96,7.73,8.2,"Broad category","Specific personality disorders"
"3870","SPD","F",42,6.25,6.22,6.28,7.53,7.3,7.76,"Broad category","Specific personality disorders"
"3871","SPD","F",42.5,6.29,6.26,6.32,7.11,6.89,7.34,"Broad category","Specific personality disorders"
"3872","SPD","F",43,6.33,6.3,6.36,6.72,6.5,6.95,"Broad category","Specific personality disorders"
"3873","SPD","F",43.5,6.36,6.33,6.39,6.36,6.15,6.58,"Broad category","Specific personality disorders"
"3874","SPD","F",44,6.4,6.37,6.43,6.03,5.83,6.24,"Broad category","Specific personality disorders"
